Geo Point;NOMLONG;LIGNE;RESEAU
48.8410940563, 2.2879457665;BOUCICAUT;8;METRO
48.8420053473, 2.23888732579;BOULOGNE-JEAN JAURES;10;METRO
48.8561407093, 2.37020933841;BREGUET-SABIN;5;METRO
48.884594208, 2.33794977706;ABBESSES;12;METRO
48.8299902817, 2.37574814434;BIBLIOTHEQUE FRANCOIS MITTERRAND;14;METRO
48.8839585735, 2.33192659089;BLANCHE;2;METRO
48.895454673, 2.4253268888;BOBIGNY-PANTIN (RAYMOND QUENEAU);5;METRO
48.8808212614, 2.37414715384;BOLIVAR;7b;METRO
48.8281884763, 2.32716464961;ALESIA;4;METRO
48.864766845, 2.3009910035;ALMA-MARCEAU;9;METRO
48.8755940499, 2.28932258961;ARGENTINE;1;METRO
48.8470195819, 2.29542047803;AVENUE EMILE ZOLA;10;METRO
48.8515102782, 2.39830234427;AVRON;2;METRO
48.8838039424, 2.35061300069;BARBES-ROCHECHOUART;2;METRO
48.8718487938, 2.37659368274;BELLEVILLE;11;METRO
48.8723101138, 2.37670214473;BELLEVILLE;2;METRO
48.8690911629, 2.38054258599;COURONNES;2;METRO
48.8907889695, 2.3773157556;CRIMEE;7;METRO
48.842436797, 2.365184812;AUSTERLITZ;10;METRO
48.8470525545, 2.31642435206;DUROC;13;METRO
48.814803007, 2.42237614285;ECOLE VETERINAIRE DE MAISONS-ALFORT;8;METRO
48.8475070811, 2.30296829919;CAMBRONNE;6;METRO
48.8354953554, 2.3588234891;CAMPO-FORMIO;5;METRO
48.8452047036, 2.26644154308;CHARDON-LAGACHE;10;METRO
48.8747486507, 2.29556025621;CHARLES DE GAULLE ETOILE;6;METRO
48.8724249145, 2.35604490767;CHATEAU D'EAU;4;METRO
48.8575563594, 2.34830889513;CHATELET;11;METRO
48.8107464886, 2.30167855546;CHATILLON-MONTROUGE;13;METRO
48.8574200375, 2.3681082907;CHEMIN VERT;8;METRO
48.8349477223, 2.36812632906;CHEVALERET;6;METRO
48.8662858046, 2.32294341224;CONCORDE;1;METRO
48.8661671149, 2.32317568086;CONCORDE;12;METRO
48.8948364684, 2.38252234342;CORENTIN CARIOU;7;METRO
48.8698082202, 2.30747079345;FRANKLIN-D.ROOSEVELT;1;METRO
48.9163823099, 2.2946851117;GABRIEL PERI-ASNIERES-GENNEVILLIERS;13;METRO
48.8651634349, 2.39874659344;GAMBETTA;3b;METRO
48.8928288534, 2.3274284585;GUY MOQUET;13;METRO
48.8787703685, 2.32226521312;EUROPE;3;METRO
48.8429386959, 2.26003290221;EXELMANS;9;METRO
48.8444701413, 2.31785278304;FALGUIERE;12;METRO
48.863257945, 2.36666109472;FILLES DU CALVAIRE;8;METRO
48.8761263529, 2.35804750536;GARE DE L'EST;5;METRO
48.8437354893, 2.32435304116;MONTPARNASSE;12;METRO
48.8423274377, 2.32098483563;MONTPARNASSE;13;METRO
48.8828919175, 2.30905226455;MALESHERBES;3;METRO
48.8527251193, 2.40608916188;MARAICHERS;9;METRO
48.8452475655, 2.2616234924;MICHEL-ANGE-MOLITOR;10;METRO
48.837117007, 2.40233316592;MICHEL BIZOT;8;METRO
48.8737699887, 2.31445603619;MIROMESNIL;13;METRO
48.8686959778, 2.34072072367;BOURSE;3;METRO
48.8539426071, 2.28933453277;BIR-HAKEIM (GRENELLE);6;METRO
48.8669831104, 2.29005883493;BOISSIERE;6;METRO
48.8828686476, 2.34413063372;ANVERS;2;METRO
48.8653227117, 2.35672986917;ARTS ET METIERS;11;METRO
48.8607869635, 2.32099819195;ASSEMBLEE NATIONALE;12;METRO
48.8359308792, 2.27816167128;BALARD;8;METRO
48.8834361881, 2.34977444365;BARBES-ROCHECHOUART;4;METRO
48.8455790671, 2.42801039629;BERAULT;1;METRO
48.779905317, 2.45936839626;CRETEIL-PREFECTURE (HOTEL DE VILLE);8;METRO
48.8819319987, 2.39344545649;DANUBE;7b;METRO
48.8334508582, 2.33174013099;DENFERT-ROCHEREAU;4;METRO
